symbol,moneyness_bucket,tenor_bucket,c_j,phi_j,se_phi,t_stat_phi,p_value_phi,r2,n_obs,underlying,index
HO2303-C-2950.CFE,CW,ST,-0.23611221159386736,0.6623721096501622,0.2115570993180406,3.130937755269545,0.0050495335299000875,0.31824315919540547,23.0,SSE 50,000016.SH
HO2303-C-3000.CFE,CW,MT,0.11834099608632383,0.1402968649376725,0.263794623546807,0.5318412598836708,0.6031737429555142,0.01980382236079703,16.0,SSE 50,000016.SH
HO2303-C-3000.CFE,CW,ST,-0.0749245106479871,0.6423336992418027,0.15823642568631177,4.059328921617368,0.0005638273358988613,0.43967353578004176,23.0,SSE 50,000016.SH
HO2303-C-3050.CFE,CW,MT,-0.023347125927257482,0.47417705285300815,0.2702434562924215,1.7546291753311385,0.10985494753278781,0.2353993899189879,12.0,SSE 50,000016.SH
HO2303-C-3050.CFE,CW,ST,-0.25504241028612046,0.2163097177801097,0.22374443611505448,0.9667713822786562,0.344661153761031,0.04261052888682093,23.0,SSE 50,000016.SH
HO2303-C-3100.CFE,CW,ST,0.2554258092578324,0.18952019913528656,0.32516902659563984,0.5828359518723848,0.5662103806545253,0.015918582860247166,23.0,SSE 50,000016.SH
HO2303-C-3150.CFE,CW,ST,0.6212682202503541,0.3794826774053547,0.23008570685188853,1.6493100879562086,0.11743839867876851,0.13794081641668854,19.0,SSE 50,000016.SH
HO2303-P-2325.CFE,DPW,MT,-0.16950291703737086,-0.26967355402622917,0.26065600937667255,-1.0345955754909353,0.31839929542015494,0.07102590885401816,16.0,SSE 50,000016.SH
HO2303-P-2325.CFE,DPW,ST,1.0508971667767324,-0.20057872380271746,0.2269119128499597,-0.8839497287008705,0.3877721876191395,0.03950015780087124,21.0,SSE 50,000016.SH
HO2303-P-2350.CFE,DPW,MT,0.06851293141646007,0.08482279838296494,0.2758874748569717,0.30745432871477624,0.7633676629270378,0.007218905718463398,15.0,SSE 50,000016.SH
HO2303-P-2350.CFE,DPW,ST,0.40988606352160856,0.33903695342925744,0.2203286740490678,1.5387781680824393,0.14125262683114875,0.1162537831181577,20.0,SSE 50,000016.SH
HO2303-P-2375.CFE,DPW,ST,-0.30589037845157135,-0.02086021278601386,0.29702276790539944,-0.0702310228038066,0.9452703202956103,0.00044819871547863155,13.0,SSE 50,000016.SH
HO2303-P-2375.CFE,PW,ST,-0.3042474730357664,0.04727550336905046,0.35809278789695237,0.1320202611359345,0.8982282699419107,0.0021739323904135244,10.0,SSE 50,000016.SH
HO2303-P-2400.CFE,PW,ST,-0.3177017289138988,0.4033673800591028,0.2599812830875043,1.5515246915807308,0.14477250404639352,0.15624022263296278,15.0,SSE 50,000016.SH
HO2303-P-2425.CFE,PW,ST,-0.8208385728805593,0.09814956620096597,0.22691336603578172,0.4325420221631584,0.6702172176933788,0.009750961483755871,21.0,SSE 50,000016.SH
HO2303-P-2450.CFE,PW,MT,-0.011831431636049348,0.4496438580278391,0.27479493261610977,1.636288754480034,0.13004234104821333,0.19575598315175247,13.0,SSE 50,000016.SH
HO2303-P-2450.CFE,PW,ST,-0.6412717665040693,0.45074869555229224,0.19813893783353473,2.2749122433016478,0.03351407860732166,0.19771465473218963,23.0,SSE 50,000016.SH
HO2303-P-2475.CFE,PW,MT,-0.1922614130044392,0.023427007998119607,0.24332607769674947,0.09627824612911419,0.9245741437516188,0.0006175850648346692,17.0,SSE 50,000016.SH
HO2303-P-2475.CFE,PW,ST,-0.5474661460216192,0.5836697806312175,0.18391383447712914,3.1736045430763973,0.004575073300277619,0.3241452662206008,23.0,SSE 50,000016.SH
HO2303-P-2500.CFE,PW,MT,-0.0977039879808147,0.23551504387155686,0.2586117167262502,0.910689766314254,0.37686150365577475,0.05239353125319435,17.0,SSE 50,000016.SH
HO2303-P-2500.CFE,PW,ST,-0.44741572558773834,0.6439055352780795,0.1997566717157253,3.2234494585213382,0.004075450262450634,0.3310104830462396,23.0,SSE 50,000016.SH
HO2303-P-2550.CFE,PW,MT,0.06154065394636747,-0.2407486771852894,0.2579096544478858,-0.933461283954905,0.3664027283415114,0.058592526601824235,16.0,SSE 50,000016.SH
